 73  |  WLM            |   0.49227 | -15.46099 | 0.33      |  2.9       |  6.43      |  8.93      | 0.01      | 6.43      | 9.00       | 0.01       | 6.43      | 8.36      | 0.20      | 6.43       | 5.47      | 0.26          | -0.07     | 0.02    | 0.64    |  0.21
 74  |  NGC2841        | 140.51106 |  50.97655 | 0.47      |  151.4     |  6.41      |  5.89      | 0.01      | 4.93      | 5.91       | 0.01       | 4.93      | 3.78      | 0.01      | 4.93       | 2.21      | 0.01          | -0.02     | 0.02    | 2.13    |  0.02
 75  |  CircinusGalaxy | 213.29146 | -65.33923 | 0.67      |  20.9      |  6.37      |  4.43      | 0.01      | 6.37      | 3.76       | 0.01       | 9.19      | -0.29     | 0.04      | 8.70       | -2.58     | 0.04          |  0.67     | 0.02    | 4.05    |  0.05
 76  |  NGC3621        | 169.56879 | -32.81405 | 0.48      |  162.0     |  6.33      |  6.33      | 0.02      | 5.23      | 6.21       | 0.02       | 5.23      | 2.57      | 0.01      | 5.23       | 0.85      | 0.01          |  0.12     | 0.03    | 3.64    |  0.03
 77  |  NGC5078        | 199.95856 | -27.41013 | 0.39      |  145.7     |  6.32      |  6.71      | 0.01      | 4.60      | 6.68       | 0.01       | 2.73      | 4.07      | 0.01      | 2.73       | 2.46      | 0.01          |  0.03     | 0.02    | 2.61    |  0.02
 78  |  NGC1023        |  40.10017 |  39.06337 | 0.47      |  84.0      |  6.30      |  6.04      | 0.01      | 4.52      | 6.12       | 0.01       | 1.60      | 5.94      | 0.01      | 1.60       | 5.01      | 0.05          | -0.08     | 0.02    | 0.18    |  0.02
 79  |  NGC7331        | 339.26675 |  34.41580 | 0.43      |  172.0     |  6.22      |  5.70      | 0.01      | 6.22      | 5.61       | 0.01       | 6.22      | 2.36      | 0.01      | 6.22       | 0.67      | 0.01          |  0.09     | 0.02    | 3.25    |  0.02
 80  |  MESSIER64      | 194.18185 |  21.68300 | 0.54      |  114.7     |  6.16      |  5.18      | 0.01      | 5.01      | 5.18       | 0.01       | 5.01      | 2.96      | 0.01      | 5.01       | 1.19      | 0.01          |  0.00     | 0.02    | 2.22    |  0.02
 81  |  MESSIER59      | 190.50938 |  11.64700 | 0.76      |  164.9     |  6.11      |  6.45      | 0.01      | 4.50      | 6.57       | 0.01       | 1.44      | 6.20      | 0.01      | 1.44       | 5.23      | 0.06          | -0.12     | 0.02    | 0.37    |  0.02
 82  |  NGC4696        | 192.20518 | -41.31093 | 0.62      |  97.9      |  6.07      |  6.66      | 0.01      | 5.06      | 6.74       | 0.01       | 1.62      | 6.63      | 0.01      | 1.62       | 5.54      | 0.06          | -0.08     | 0.02    | 0.11    |  0.02
 83  |  MESSIER82      | 148.96646 |  69.67978 | 0.79      |  54.1      |  6.06      |  4.07      | 0.01      | 6.06      | 3.61       | 0.01       | 8.01      | -0.96     | 0.01      | 8.49       | -4.14     | 0.01          |  0.46     | 0.02    | 4.57    |  0.02
 84  |  ESO274-001     | 228.55611 | -46.80931 | 0.16      |  36.6      |  5.91      |  7.91      | 0.01      | 5.91      | 7.93       | 0.01       | 5.91      | 6.94      | 0.08      | 5.91       | 3.04      | 0.02          | -0.02     | 0.02    | 0.99    |  0.09
 85  |  MESSIER77      |  40.66975 |  -0.01340 | 0.87      |  80.2      |  5.87      |  4.59      | 0.01      | 4.73      | 2.89       | 0.01       | 5.91      | -0.68     | 0.04      | 6.32       | -2.45     | 0.04          |  1.70     | 0.02    | 3.57    |  0.05
 86  |  NGC3077        | 150.82985 |  68.73387 | 0.73      |  38.5      |  5.84      |  6.80      | 0.01      | 4.51      | 6.76       | 0.01       | 2.64      | 4.12      | 0.01      | 2.64       | 1.64      | 0.01          |  0.04     | 0.02    | 2.64    |  0.02
